usage_kwh,is_scheduled_occupied,is_scheduled_workday,max_temp_f,max_temp_c,humidity
9.8125,True,NonWork,22.0,-5.0,40.0
4.6875,True,NonWork,22.0,-5.0,40.0
9.84375,True,NonWork,26.0,-4.0,38.0
5.015625,True,NonWork,26.0,-4.0,38.0
9.453125,True,NonWork,26.0,-4.0,38.0
4.890625,True,NonWork,26.0,-4.0,38.0
9.890625,True,NonWork,28.0,-2.0,41.0
5.171875,True,NonWork,28.0,-2.0,41.0
10.03125,True,NonWork,28.0,-2.0,41.0
5.125,True,NonWork,28.0,-2.0,41.0
10.171875,True,NonWork,30.0,-1.0,39.0
5.21875,True,NonWork,30.0,-1.0,39.0
10.0,True,NonWork,30.0,-1.0,39.0
5.171875,True,NonWork,30.0,-1.0,39.0
10.03125,True,NonWork,31.0,-1.0,42.0
5.125,True,NonWork,31.0,-1.0,42.0
10.25,True,NonWork,31.0,-1.0,42.0
5.078125,True,NonWork,31.0,-1.0,42.0
10.125,True,NonWork,31.0,-1.0,42.0
5.265625,True,NonWork,31.0,-1.0,42.0
10.484375,True,NonWork,31.0,-1.0,42.0
5.640625,True,NonWork,31.0,-1.0,42.0
11.6875,True,NonWork,29.0,-1.0,49.0
6.40625,True,NonWork,29.0,-1.0,49.0
12.25,True,NonWork,29.0,-1.0,49.0
6.421875,True,NonWork,29.0,-1.0,49.0
12.46875,True,NonWork,27.0,-3.0,53.0
6.140625,True,NonWork,27.0,-3.0,53.0
12.28125,True,NonWork,27.0,-3.0,53.0
6.171875,True,NonWork,27.0,-3.0,53.0
12.453125,True,NonWork,26.0,-4.0,53.0
6.125,True,NonWork,26.0,-4.0,53.0
12.546875,True,NonWork,26.0,-4.0,53.0
6.40625,True,NonWork,26.0,-4.0,53.0
8.34375,False,NonWork,25.0,-4.0,57.0
3.3125,False,NonWork,25.0,-4.0,57.0
5.625,False,NonWork,25.0,-4.0,57.0
2.953125,False,NonWork,25.0,-4.0,57.0
5.828125,False,NonWork,24.0,-5.0,57.0
3.046875,False,NonWork,24.0,-5.0,57.0
5.859375,False,NonWork,24.0,-5.0,57.0
2.96875,False,NonWork,24.0,-5.0,57.0
5.96875,False,NonWork,23.0,-5.0,57.0
3.046875,False,NonWork,23.0,-5.0,57.0
5.875,False,NonWork,23.0,-5.0,57.0
3.3125,False,NonWork,23.0,-5.0,57.0
5.9375,False,NonWork,23.0,-5.0,58.0
3.0,False,NonWork,23.0,-5.0,58.0
6.25,False,NonWork,23.0,-5.0,58.0
5.125,False,NonWork,23.0,-5.0,58.0
4.078125,False,NonWork,22.0,-6.0,62.0
3.265625,False,NonWork,22.0,-6.0,62.0
6.3125,False,NonWork,22.0,-6.0,62.0
3.1875,False,NonWork,22.0,-6.0,62.0
6.1875,False,Working,21.0,-6.0,68.0
3.203125,False,Working,21.0,-6.0,68.0
