,usage_kwh,timestamp
206,6.890625,2022-01-03T03:30:00
207,3.375,2022-01-03T03:45:00
208,6.71875,2022-01-03T04:00:00
209,3.65625,2022-01-03T04:15:00
210,6.625,2022-01-03T04:30:00
211,3.609375,2022-01-03T04:45:00
212,6.5,2022-01-03T05:00:00
213,3.71875,2022-01-03T05:15:00
214,6.578125,2022-01-03T05:30:00
215,3.65625,2022-01-03T05:45:00
216,10.53125,2022-01-03T06:00:00
217,6.515625,2022-01-03T06:15:00
218,13.078125,2022-01-03T06:30:00
219,6.484375,2022-01-03T06:45:00
220,13.21875,2022-01-03T07:00:00
221,6.40625,2022-01-03T07:15:00
222,12.84375,2022-01-03T07:30:00
223,6.4375,2022-01-03T07:45:00
224,11.046875,2022-01-03T08:00:00
225,5.90625,2022-01-03T08:15:00
226,11.015625,2022-01-03T08:30:00
227,5.546875,2022-01-03T08:45:00
228,10.15625,2022-01-03T09:00:00
229,5.390625,2022-01-03T09:15:00
230,10.046875,2022-01-03T09:30:00
231,5.125,2022-01-03T09:45:00
232,9.8125,2022-01-03T10:00:00
233,4.96875,2022-01-03T10:15:00
234,9.8125,2022-01-03T10:30:00
235,4.6875,2022-01-03T10:45:00
236,9.84375,2022-01-03T11:00:00
237,5.015625,2022-01-03T11:15:00
238,9.453125,2022-01-03T11:30:00
239,4.890625,2022-01-03T11:45:00
240,9.890625,2022-01-03T12:00:00
241,5.171875,2022-01-03T12:15:00
242,10.03125,2022-01-03T12:30:00
243,5.125,2022-01-03T12:45:00
244,10.171875,2022-01-03T13:00:00
245,5.21875,2022-01-03T13:15:00
246,10.0,2022-01-03T13:30:00
247,5.171875,2022-01-03T13:45:00
248,10.03125,2022-01-03T14:00:00
249,5.125,2022-01-03T14:15:00
250,10.25,2022-01-03T14:30:00
251,5.078125,2022-01-03T14:45:00
252,10.125,2022-01-03T15:00:00
253,5.265625,2022-01-03T15:15:00
254,10.484375,2022-01-03T15:30:00
255,5.640625,2022-01-03T15:45:00
256,11.6875,2022-01-03T16:00:00
